เลขเอกสาร,ชื่อกฎหมาย
100831,ระเบียบคณะกรรมการสิทธิมนุษยชนแห่งชาติ ว่าด้วยการติดตามผลการดำเนินการด้านสิทธิมนุษยชน พ.ศ. 2568
100859,ระเบียบคณะกรรมการอัยการ ว่าด้วยเบี้ยประชุมกรรมการ อนุกรรมการ การจ่ายเงินสมนาคุณและค่าตอบแทนบุคคลหรือคณะบุคคล (ฉบับที่ 2) พ.ศ. 2568
100985,ระเบียบ ก.ขป. ว่าด้วยการอุทธรณ์ของข้าราชการฝ่ายศาลปกครอง (ฉบับที่ 2) พ.ศ. 2568
100986,ระเบียบ ก.ขป. ว่าด้วยการร้องทุกข์ของข้าราชการฝ่ายศาลปกครอง (ฉบับที่ 2) พ.ศ. 2568
101163,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง กำหนดวัน และเวลายื่นคำขอลงทะเบียนใช้สิทธิลงคะแนนออกเสียงประชามตินอกเขตออกเสียงประชามติ นอกราชอาณาจักร และที่ออกเสียงประชามติสำหรับคนพิการหรือทุพพลภาพ หรือผู้สูงอายุ
101574,พระราชกฤษฎีกาจัดตั้งสำนักงานเทคโนโลยีและนวัตกรรมด้านชีววิทยาศาสตร์ (องค์การมหาชน) พ.ศ. 2569
101575,พระราชกฤษฎีกาออกตามความในประมวลรัษฎากร ว่าด้วยการยกเว้นรัษฎากร (ฉบับที่ 802) พ.ศ. 2569
101576,พระราชกฤษฎีกาออกตามความในประมวลรัษฎากร ว่าด้วยการกำหนดค่าใช้จ่ายที่ยอมให้หักจากเงินได้พึงประเมิน (ฉบับที่ 803) พ.ศ. 2569
101750,กฎกระทรวงการขึ้นทะเบียนสิ่งบ่งชี้ทางภูมิศาสตร์ของต่างประเทศที่ได้มาด้วยวิธีการแลกเปลี่ยนรายการสิ่งบ่งชี้ทางภูมิศาสตร์ พ.ศ. 2569
101861,กฎกระทรวงกำหนดลักษณะของเหรียญกษาปณ์ที่ระลึก 100 ปี วันพระบรมราชสมภพ พระบาทสมเด็จพระปรเมนทรมหาอานันทมหิดล พระอัฐมรามาธิบดินทร พ.ศ. 2569
101872,กฎกระทรวงกำหนดหลักเกณฑ์เกี่ยวกับผู้ที่มีสิทธิขอขึ้นทะเบียนผู้ประกอบการ (ฉบับที่ 2) พ.ศ. 2569
10206,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง กำหนดระยะเวลาดำเนินงานในกระบวนการยุติธรรมของสำนักงานคณะกรรมการการเลือกตั้ง พ.ศ. 2566
102069,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการคัดค้านการออกเสียงประชามติ พ.ศ. 2569
102250,กฎกระทรวงกำหนดลักษณะของเหรียญกษาปณ์ที่ระลึก 100 ปี ราชบัณฑิตยสภา พ.ศ. 2569
102341,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการใช้จ่ายเงินในการออกเสียงประชามติและการเลือกตั้งสมาชิกสภาผู้แทนราษฎร กรณีวันออกเสียงประชามติในวันเดียวกับวันเลือกตั้งสมาชิกสภาผู้แทนราษฎรใหม่ เป็นการเลือกตั้งทั่วไป พ.ศ. 2569
102666,ประกาศประธานศาลปกครองสูงสุด เรื่อง รายชื่อผู้ได้รับเลือกเป็นกรรมการบริหารศาลปกครองผู้ทรงคุณวุฒิ ตามมาตรา 41/2 วรรคหนึ่ง (5) แห่งพระราชบัญญัติจัดตั้งศาลปกครอง และวิธีพิจารณาคดีปกครอง พ.ศ. 2542 และที่แก้ไขเพิ่มเติม
102677,กฎกระทรวงการทำพินัยกรรมหรือการแสดงเจตนาเกี่ยวกับมรดก พ.ศ. 2569
102901,กฎกระทรวงการขนส่งก๊าซธรรมชาติเหลวโดยถังขนส่งก๊าซธรรมชาติเหลว พ.ศ. 2569
103048,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น (ฉบับที่ 6) พ.ศ. 2569
103088,ประกาศสำนักงานศาลรัฐธรรมนูญ เรื่อง ผลแห่งคำวินิจฉัยของศาลรัฐธรรมนูญ ที่ 2/2569
103103,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดจันทบุรี
103104,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนครสวรรค์
103105,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลบางแตน อำเภอบ้านสร้าง จังหวัดปราจีนบุรี
103109,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสระบุรี
103110,ประกาศประธานศาลปกครองสูงสุด เรื่อง รายชื่อผู้ได้รับเลือกเป็นกรรมการข้าราชการฝ่ายศาลปกครองผู้ทรงคุณวุฒิ ตามมาตรา 81 วรรคหนึ่ง (5) แห่งพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง พ.ศ. 2542 และที่แก้ไขเพิ่มเติม
103134,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลภูหอ อำเภอภูหลวง จังหวัดเลย
103167,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดราชบุรี
103183,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง จำนวนผู้ลงทะเบียนขอใช้สิทธิเลือกตั้งสมาชิกสภาผู้แทนราษฎรนอกราชอาณาจักร
103184,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง จำนวนผู้ลงทะเบียนขอใช้สิทธิออกเสียงประชามตินอกราชอาณาจักร
103229,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดน่าน
103230,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดอุตรดิตถ์
103298,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดกาญจนบุรี
103302,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลคลองควาย อำเภอสามโคก จังหวัดปทุมธานี
103308,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสมุทรสงคราม
103313,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสมุทรสาคร
103339,ประกาศสำนักงานคณะกรรมการการเลือกตั้ง เรื่อง หลักเกณฑ์และแนวทางในการเบิกค่าใช้จ่ายในการออกเสียงประชามติและการเลือกตั้งสมาชิกสภาผู้แทนราษฎร กรณีวันออกเสียงประชามติในวันเดียวกับวันเลือกตั้งสมาชิกสภาผู้แทนราษฎร
103359,กฎกระทรวงกำหนดค่าธรรมเนียมการใช้ยานยนตร์บนทางหลวงพิเศษหมายเลข 9 สายถนนวงแหวนรอบนอกกรุงเทพมหานคร รอบที่ 2 (ถนนกาญจนาภิเษก) ตอนบางบัวทอง - บางปะอิน พ.ศ. 2569
103369,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลบ้านเรือน อำเภอป่าซาง จังหวัดลำพูน
103493,กฎกระทรวงการประกันความรับผิดของผู้ขนส่งที่ดำเนินการรับขนทางอากาศ (ฉบับที่ 2) พ.ศ. 2569
103500,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดพิจิตร
103526,สำนักงานคณะกรรมการการเลือกตั้ง ขอแก้ไขข้อความคลาดเคลื่อน ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการออกเสียงประชามติที่กำหนดวันออกเสียงประชามติในวันเดียวกับวันเลือกตั้งสมาชิกสภาผู้แทนราษฎรใหม่ เป็นการเลือกตั้งทั่วไป [ซึ่งประกาศในราชกิจจานุเบกษา ฉบับกฤษฎีกา เล่ม 142 ตอนที่ 86 ก วันที่ 22 ธันวาคม 2568 หน้า 54]
103546,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดกระบี่
103556,ระเบียบคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ว่าด้วยการบริหารทรัพยากรบุคคลของสำนักงาน ป.ป.ช. (ฉบับที่ 3) พ.ศ. 2569
103654,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสุรินทร์
103656,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดมุกดาหาร
103741,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดบึงกาฬ
103769,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดพัทลุง
103773,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดตรัง
103790,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดเชียงใหม่
103796,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดแพร่
103832,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดลำปาง
103841,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดพิษณุโลก
104002,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดชลบุรี
104023,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดกาฬสินธุ์
104044,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดกำแพงเพชร
104070,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนนทบุรี
104087,ประกาศศาลปกครอง เรื่อง คำพิพากษาถึงที่สุดให้เพิกถอนกฏ
104170,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการจัดยานพาหนะโดยหน่วยงานของรัฐเพื่ออำนวยความสะดวกแก่ผู้มีสิทธิออกเสียงประชามติ พ.ศ. 2569
10418,ระเบียบคณะกรรมการพิจารณาเรื่องร้องเรียนตำรวจ ว่าด้วยหลักเกณฑ์และวิธีการร้องเรียนต่อคณะกรรมการพิจารณาเรื่องร้องเรียนตำรวจ พ.ศ. 2566
104215,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดฉะเชิงเทรา
104217,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสตูล
104218,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดเชียงราย
104219,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนครราชสีมา
104221,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดชัยนาท
104224,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสุพรรณบุรี
104226,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดระยอง
104228,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดศรีสะเกษ
104229,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดบุรีรัมย์
104230,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดอุทัยธานี
104231,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดเพชรบุรี
104232,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดลพบุรี
104233,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสระแก้ว
104234,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนครนายก
104236,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดพระนครศรีอยุธยา
104237,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดยโสธร
104238,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดมหาสารคาม
104276,พระราชกฤษฎีกาออกตามความในประมวลรัษฎากร ว่าด้วยการยกเว้นรัษฎากร (ฉบับที่ 804) พ.ศ. 2569
104277,พระราชกฤษฎีกาออกตามความในประมวลรัษฎากร ว่าด้วยการยกเว้นรัษฎากร (ฉบับที่ 805) พ.ศ. 2569
104278,พระราชกฤษฎีกาว่าด้วยปริญญาในสาขาวิชา อักษรย่อสำหรับสาขาวิชา ครุยวิทยฐานะ เข็มวิทยฐานะ และครุยประจำตำแหน่งของมหาวิทยาลัยราชภัฏราชนครินทร์ (ฉบับที่ 6) พ.ศ. 2569
104279,พระราชกฤษฎีกาปรับปรุงชนิดของต้นไม้ตามบัญชีต้นไม้ตามกฎหมายว่าด้วยสวนป่า พ.ศ. 2569
10429,ระเบียบคณะกรรมการพิจารณาเรื่องร้องเรียนตำรวจ ว่าด้วยหลักเกณฑ์และวิธีการไต่สวนและพิจารณา พ.ศ. 2566
104508,ประกาศสำนักงานคณะกรรมการการเลือกตั้ง เรื่อง หลักเกณฑ์และแนวทางในการเบิกค่าใช้จ่ายในการออกเสียงประชามติและการเลือกตั้งสมาชิกสภาผู้แทนราษฎร กรณีวันออกเสียงประชามติในวันเดียวกับวันเลือกตั้งสมาชิกสภาผู้แทนราษฎร (ฉบับที่ 2) พ.ศ. 2569
104538,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลหนองย่างชิ้น อำเภอเรณูนคร จังหวัดนครพนม
104544,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดอำนาจเจริญ
104569,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดร้อยเอ็ด
104617,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลศาลาลัย อำเภอสามร้อยยอด จังหวัดประจวบคีรีขันธ์
104619,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดปัตตานี
104621,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดระนอง
104719,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดอ่างทอง
104741,ระเบียบคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ว่าด้วยการบริหารทรัพยากรบุคคลของสำนักงาน ป.ป.ช. (ฉบับที่ 4) พ.ศ. 2569
104742,ประกาศคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ เรื่อง หลักเกณฑ์และวิธีการคัดเลือกข้าราชการสำนักงาน ป.ป.ช. เพื่อเลื่อนขึ้นแต่งตั้งให้ดำรงตำแหน่งทางบริหาร พ.ศ. 2569
104940,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดอุดรธานี
104941,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดขอนแก่น
104970,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสกลนคร
104978,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดชุมพร
104979,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดสุราษฎร์ธานี
105107,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลตำบลฉลุง อำเภอหาดใหญ่ จังหวัดสงขลา
105213,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดชัยภูมิ
105257,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนครปฐม
105258,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดหนองคาย
105323,กฎกระทรวงการขออนุญาตและการอนุญาตให้นำเข้า ส่งออก นำผ่าน เพาะเลี้ยง หรือมีไว้ในครอบครองซึ่งสัตว์น้ำบางชนิด พ.ศ. 2569
105334,พระราชกฤษฎีกาขยายเวลาใช้บังคับพระราชบัญญัติพื้นที่นวัตกรรมการศึกษา พ.ศ. 2562 พ.ศ. 2569
105430,กฎกระทรวงการได้รับประโยชน์ทดแทนในกรณีว่างงานเนื่องจากมีเหตุสุดวิสัยอันเกิดจากการรบบริเวณชายแดน พ.ศ. 2569
105472,พระราชกฤษฎีกาว่าด้วยปริญญาในสาขาวิชา อักษรย่อสำหรับสาขาวิชา ครุยวิทยฐานะ เข็มวิทยฐานะ และครุยประจำตำแหน่งของมหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร (ฉบับที่ 5) พ.ศ. 2569
105508,พระราชกฤษฎีกาปิดประชุมสมัยวิสามัญแห่งรัฐสภา พ.ศ. 2569
105556,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแบ่งเขตเลือกตั้งสมาชิกสภาเทศบาลในจังหวัดนครศรีธรรมราช
10566,ประกาศสำนักงานศาลรัฐธรรมนูญ เรื่อง ประมวลกฎหมายอาญา มาตรา 217 ไม่ขัดหรือแย้งต่อรัฐธรรมนูญ มาตรา 26 และมาตรา 34 [คำวินิจฉัยที่ 16/2566]
105666,ประกาศ ก.ศป. เรื่อง การกำหนดตำแหน่งอื่นในหน่วยงานของรัฐที่เทียบเท่าอธิบดีและที่เทียบเท่าข้าราชการพลเรือน ระดับ 8 (ฉบับที่ 6)
10577,ระเบียบกรมบังคับคดี ว่าด้วยการจัดให้มีข้อมูลข่าวสารของราชการไว้ให้ประชาชนเข้าตรวจดู พ.ศ. 2566
105800,คำวินิจฉัยของศาลรัฐธรรมนูญ คำวินิจฉัยที่ 1/2569 เรื่อง ประธานวุฒิสภาส่งคำร้องขอให้ศาลรัฐธรรมนูญวินิจฉัยตามรัฐธรรมนูญ มาตรา 170 วรรคสาม ประกอบมาตรา 82 ว่า ความเป็นรัฐมนตรีของ นายภูมิธรรม เวชยชัย รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม และ พันตำรวจเอก ทวี สอดส่อง รัฐมนตรีว่าการกระทรวงยุติธรรม สิ้นสุดลงเฉพาะตัวตามรัฐธรรมนูญ มาตรา 170 วรรคหนึ่ง (4) ประกอบมาตรา 160 (4) และ (5) หรือไม่ [ระหว่าง ประธานวุฒิสภา ผู้ร้อง นายภูมิธรรม เวชยชัย รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม ที่ 1 พันตำรวจเอก ทวี สอดส่อง รัฐมนตรีว่าการกระทรวงยุติธรรม ที่ 2 ผู้ถูกร้อง]
105801,"คำวินิจฉัยของศาลรัฐธรรมนูญ คำวินิจฉัยที่ 2/2569 เรื่อง พระราชบัญญัติวิธีพิจารณาคดีผู้บริโภค พ.ศ. 2551 มาตรา 42 วรรคหนึ่ง เฉพาะในส่วนที่บัญญัติว่า ""ให้ศาลมีอำนาจสั่งให้ผู้ประกอบธุรกิจจ่ายค่าเสียหายเพื่อการลงโทษเพิ่มขึ้นจากจำนวนค่าเสียหายที่แท้จริงที่ศาลกำหนดได้ตามที่เห็นสมควร"" ขัดหรือแย้งต่อรัฐธรรมนูญ มาตรา 26 วรรคหนึ่ง มาตรา 27 วรรคหนึ่งและวรรคสาม และมาตรา 37 วรรคหนึ่ง หรือไม่ [ระหว่าง ศาลแพ่งกรุงเทพใต้ ผู้ร้อง - ผู้ถูกร้อง]"
10591,ระเบียบคณะกรรมการการเลือกตั้ง ว่าด้วยการสืบสวน การไต่สวน และการวินิจฉัยชี้ขาด (ฉบับที่ 5) พ.ศ. 2566
106525,พระราชกฤษฎีกาการได้รับเงินประจำตำแหน่งของข้าราชการและผู้ดำรงตำแหน่งผู้บริหารซึ่งไม่เป็นข้าราชการ (ฉบับที่ 11) พ.ศ. 2569
106526,พระราชกฤษฎีกากำหนดเขตที่ดินที่จะเวนคืน ในท้องที่ตำบลโซง และตำบลสีวิเชียร อำเภอน้ำยืน จังหวัดอุบลราชธานี พ.ศ. 2569
106527,พระราชกฤษฎีกากำหนดเขตที่ดินที่จะเวนคืน ในท้องที่ตำบลพะตง อำเภอหาดใหญ่ จังหวัดสงขลา พ.ศ. 2569
106956,ระเบียบศาลรัฐธรรมนูญ ว่าด้วยค่าตอบแทนการพิจารณางานวิชาการของวิทยาลัยศาลรัฐธรรมนูญ พ.ศ. 2569
106991,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 2/2568 คดีหมายเลขแดงที่ อม. 46/2568 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง พันตำรวจโท ไวพจน์ อาภรณ์รัตน์ ผู้ถูกกล่าวหา]
106994,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 13/2568 คดีหมายเลขแดงที่ อม. 47/2568 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นายพิชัย สิทธิดา ผู้ถูกกล่าวหา]
